Customer Id,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost,City,State,Code,scheduled_year,scheduled_weekofyear,scheduled_month,scheduled_dayofweek,scheduled_weekend,delivery_year,delivery_weekofyear,delivery_month,delivery_dayofweek,delivery_weekend
fffe3900350033003300,0.26,17.0,6.0,4128.0,Brass,13.91,16.27,Yes,Yes,No,Airways,No,Working Class,No,283.29,New Michelle,OH,50777,2015,23,6,6,1,2015,23,6,2,0
fffe3800330031003900,0.28,3.0,3.0,61.0,Brass,6.83,15.0,No,No,No,Roadways,No,Working Class,No,159.96,New Michaelport,WY,12072,2017,10,3,0,0,2017,9,3,6,1
fffe3600370035003100,0.07,8.0,5.0,237.0,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,Yes,154.29,Bowmanshire,WA,19241,2015,11,3,0,0,2015,10,3,6,1
fffe350031003300,0.12,9.0,4.666666666666667,1875.3333333333333,Aluminium,5.81,16.31,No,No,No,NONE,No,Wealthy,Yes,161.16,East Robyn,KY,86375,2015,21,5,6,1,2015,21,5,2,0
fffe3900320038003400,0.15,17.0,6.0,324.0,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,No,159.23,Aprilside,PA,52793,2016,50,12,6,1,2016,50,12,2,0
fffe3300390039003900,0.99,46.0,19.0,1178.0,Wood,6.16,16.88,No,Yes,No,NONE,No,Wealthy,No,1922.78,Maddenberg,AL,43096,2015,35,8,4,0,2015,35,8,2,0
fffe3800360033003700,0.64,17.0,9.0,7264.0,Brass,8.26,90.67,No,Yes,No,Roadways,No,Working Class,No,1536.66,South Matthew,WV,76033,2016,22,6,6,1,2016,22,6,3,0
fffe3800300039003800,0.74,23.0,10.0,3287.0,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,No,422.42,Davidmouth,CA,37824,2019,23,6,1,0,2019,22,5,4,0
fffe3800330032003900,0.0,6.0,4.0,108.0,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,Yes,160.1,Lisaville,ND,43925,2018,35,8,0,0,2018,34,8,3,0
fffe3800310031003800,0.12,23.0,9.0,195226.0,Marble,245.63,49.25,No,No,No,Roadways,No,Working Class,No,834.27,Jacobland,WV,85997,2016,28,7,3,0,2016,27,7,6,1
fffe3100350034003800,0.14,47.0,25.0,40834.0,Bronze,37.22,85.09,No,No,Yes,NONE,No,Working Class,No,652.66,Brittanyside,GA,80351,2015,31,7,2,0,2015,31,7,0,0
fffe380031003700,0.29,32.0,9.0,1082.0,Stone,1800.96,56.04,No,No,Yes,Airways,No,Working Class,No,4106.98,Jacquelinemouth,WA,65740,2016,9,3,1,0,2016,9,3,1,0
fffe3900370032003400,0.26,13.0,6.0,1534.0,Bronze,5.87,20.72,No,Yes,No,Airways,No,Working Class,No,190.08,Reidshire,DC,83551,2017,43,10,3,0,2017,43,10,5,1
fffe3400370033003400,0.54,26.0,9.0,24793.666666666668,Wood,6.47,17.55,No,Yes,Yes,NONE,No,Working Class,No,334.98,West Shannonside,WA,15898,2018,37,9,6,1,2018,38,9,0,0
fffe310033003100,0.69,21.0,6.0,3954.0,Brass,14.03,16.43,Yes,No,Yes,Waterways,No,Working Class,No,359.72,Kruegerchester,TX,85901,2018,18,4,0,0,2018,18,5,3,0
fffe3800360036003700,0.72,44.0,12.0,4991242.0,Stone,29625.6,84.38,No,No,Yes,Roadways,No,Working Class,Yes,88316.02,East Julia,CO,36716,2018,25,6,6,1,2018,26,6,1,0
fffe3600310039003300,0.27,10.0,4.0,11909.0,Stone,29.47,28.18,Yes,No,No,Waterways,No,Working Class,No,329.2,Jimenezfurt,WY,87107,2019,18,4,0,0,2019,17,4,4,0
fffe3800350033003500,0.1,37.0,9.0,239463.0,Marble,771.98,64.64,No,No,No,Roadways,Yes,Working Class,No,1924.3,APO,AE,89114,2018,38,9,6,1,2018,38,9,5,1
fffe3900360036003600,0.11,19.0,14.0,7976.0,Bronze,7.1,82.84,No,Yes,No,Roadways,No,Wealthy,No,425.64,North Sarah,OR,85972,2017,6,2,4,0,2017,7,2,1,0
fffe3500380035003600,0.54,20.666666666666668,11.333333333333334,65103.0,Stone,165.05,86.65,No,No,Yes,Roadways,No,Wealthy,No,1354.11,DPO,AE,79107,2019,15,4,3,0,2019,15,4,5,1
fffe3300370038003200,0.59,20.0,9.0,198.0,NONE,5.56,15.76,No,Yes,No,NONE,No,Wealthy,No,318.74,Sanchezborough,MI,63030,2018,45,11,5,1,2018,45,11,2,0
fffe320030003900,0.11,34.0,9.0,216919.0,Marble,263.03,46.56,Yes,No,Yes,Waterways,No,Working Class,No,708.99,East Stephanie,WY,49027,2017,27,7,3,0,2017,27,7,3,0
fffe3900360035003300,0.66,9.0,5.0,184.0,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,No,244.61,FPO,AE,03279,2016,45,11,3,0,2016,45,11,0,0
fffe3600360032003400,0.57,29.0,9.0,745770.0,Stone,3403.92,30.87,Yes,Yes,Yes,Airways,No,Working Class,No,39680.72,Dudleyview,NM,25088,2018,46,11,3,0,2018,46,11,1,0
fffe3200320035003600,0.43,24.0,8.0,261562.0,Marble,1562.1,91.58,Yes,No,No,Waterways,No,Working Class,No,2296.74,North Elizabeth,AR,06294,2016,52,12,5,1,2016,52,12,5,1
