Customer Id,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost,sculpture_shipping_price,price_per_wgt,Area,Transport_Material,City,State,Code,scheduled_year,scheduled_weekofyear,scheduled_month,scheduled_dayofweek,scheduled_weekend,delivery_year,delivery_weekofyear,delivery_month,delivery_dayofweek,delivery_weekend
fffe3900350033003300,0.26,17.0,6.0,8.325548307161398,1,895,611,1,1,0,0,0,1,0,283.29,6696,1092,194,1,3792,38,4767,0,22,5,6,1,1,22,5,2,0
fffe3800330031003900,0.28,3.0,3.0,4.110873864173311,1,383,490,0,0,0,2,0,1,0,159.96,5173,5394,3,17,3788,53,1118,2,9,2,0,0,3,8,2,6,1
fffe3600370035003100,0.07,8.0,5.0,5.4680601411351315,3,196,1091,0,0,0,2,1,1,1,154.29,1757,5807,80,19,365,50,1833,0,10,2,0,0,1,9,2,6,1
fffe350031003300,0.12,9.0,6.666666666666667,6.117842189185023,0,281,615,0,0,0,1,0,0,1,161.16,4086,2974,128,8,1381,20,8210,0,20,4,6,1,1,20,4,2,0
fffe3900320038003400,0.15,17.0,6.0,5.780743515792329,0,18,191,1,1,1,0,0,1,0,159.23,2452,1357,194,0,194,41,4974,1,49,11,6,1,2,49,11,2,0
fffe3300390039003900,0.99,46.0,19.0,7.071573364211532,7,316,670,0,1,0,1,0,0,0,1922.78,4236,2226,1067,15,3068,3,4013,0,34,7,4,0,1,34,7,2,0
fffe3800360033003700,0.64,17.0,9.0,8.890685920281129,1,505,4319,0,1,0,2,0,1,0,1536.66,80,9836,337,17,5892,52,7218,1,21,5,6,1,2,21,5,3,0
fffe3800300039003800,0.74,23.0,10.0,8.097730573664219,3,828,317,1,0,0,3,1,0,0,422.42,6875,475,476,27,827,7,3537,4,22,5,1,0,5,21,4,4,0
fffe3800330032003900,0.0,6.0,4.0,4.68213122712422,3,98,954,1,0,0,3,1,1,1,160.1,1125,6296,31,27,3005,31,4106,3,34,7,0,0,4,33,7,3,0
fffe3800310031003800,0.12,23.0,9.0,12.181913140812545,4,3048,2514,0,0,0,2,0,1,0,834.27,8286,6054,435,20,1971,52,8164,1,27,6,3,0,2,26,6,6,1
fffe3100350034003800,0.14,47.0,25.0,10.617270346696145,2,1668,4076,0,0,1,1,0,1,0,652.66,5016,9165,1154,10,435,13,7607,0,30,6,2,0,1,30,6,0,0
fffe380031003700,0.29,32.0,9.0,9.424342883444167,6,4046,2803,0,0,1,0,0,1,0,4106.98,9227,7861,585,6,1982,50,6240,1,8,2,1,0,2,8,2,1,0
fffe3900370032003400,0.26,13.0,6.0,7.335633981927201,2,287,1047,0,1,0,0,0,1,0,190.08,2804,3456,154,2,5179,10,7923,2,42,9,3,0,3,42,9,5,1
fffe3400370033003400,0.54,26.0,9.0,9.580437290598603,7,347,736,0,1,1,1,0,1,0,334.98,4287,835,480,15,6872,50,1510,3,36,8,6,1,4,37,8,0,0
fffe310033003100,0.69,21.0,6.0,8.282483003730562,1,904,626,1,0,1,3,0,1,0,359.72,6695,1168,254,25,2412,46,8155,3,17,3,0,0,4,17,4,3,0
fffe3800360036003700,0.72,44.0,12.0,15.423195334553375,6,4731,4047,0,0,1,2,0,1,1,88316.02,9828,7478,873,22,1229,8,3436,3,24,5,6,1,4,25,5,1,0
fffe3600310039003300,0.27,10.0,4.0,9.385049695767997,6,1493,1619,1,0,0,3,0,1,0,329.2,6971,3936,80,30,2111,53,8278,4,17,3,0,0,5,16,3,4,0
