iter	RMSE
0	1.513440012
1	1.408276776
2	1.30523557
3	1.214332891
4	1.132868816
5	1.058440998
6	0.9917287636
7	0.9303195295
8	0.8777087028
9	0.8279264212
10	0.7846089332
11	0.7448092672
12	0.7110855368
13	0.6808987967
14	0.6523454413
15	0.6272784426
16	0.6033937253
17	0.5821811213
18	0.5636153285
19	0.5475475667
20	0.5323943464
21	0.5191390127
22	0.5063625974
23	0.4955714517
24	0.4851492351
25	0.4765122359
26	0.4679387822
27	0.4603819562
28	0.4533523428
29	0.4469253649
30	0.4410107288
31	0.4348199205
32	0.4285154844
33	0.4244447357
34	0.4199032114
35	0.4161188624
36	0.4130596737
37	0.4099429816
38	0.4065854045
39	0.4038427042
40	0.4012570911
41	0.398908852
42	0.394362955
43	0.3925763763
44	0.3904072049
45	0.3885912693
46	0.3868721921
47	0.3851437882
48	0.3823790608
49	0.3801581043
50	0.3779170621
51	0.3760110665
52	0.3745461814
53	0.3731521518
54	0.371066398
55	0.3700060076
56	0.3685930537
57	0.3675459695
58	0.3661713633
59	0.3652368217
60	0.3638820843
61	0.3629607743
62	0.3620933853
63	0.3614441667
64	0.3606175184
65	0.3585135169
66	0.3576616933
67	0.3564218495
68	0.3552043211
69	0.352476347
70	0.3516220297
71	0.3504742307
72	0.3491052853
73	0.3484415933
74	0.3461909165
75	0.3449406754
76	0.3439406727
77	0.3426891072
78	0.341808151
79	0.3394529584
80	0.3369629632
81	0.335485353
82	0.334739195
83	0.3330149036
84	0.3309971077
85	0.3296998236
86	0.3291061444
87	0.3277024256
88	0.3266924455
89	0.3247722046
90	0.3234270917
91	0.322232185
92	0.321607134
93	0.3209871308
94	0.3196660871
95	0.3183638657
96	0.3177044526
97	0.316509215
98	0.3156572867
99	0.3147152839
100	0.3139613853
101	0.3127143116
102	0.3112292709
103	0.3103233341
104	0.3096649378
105	0.3077041841
106	0.3070808991
107	0.306611697
108	0.3056000621
109	0.3047535567
110	0.3042725163
111	0.3028422295
112	0.3018163278
113	0.3013992109
114	0.2995447165
115	0.2989743922
116	0.2977326143
117	0.29653724
118	0.2954231649
119	0.2943657875
120	0.2925179142
121	0.2910326712
122	0.2905678143
123	0.2887164545
124	0.2876878733
125	0.2868835058
126	0.2861861309
127	0.2848752298
128	0.283885332
129	0.2828533354
130	0.2820341926
131	0.2807290609
132	0.279412295
133	0.278057645
134	0.2768877923
135	0.2760435306
136	0.2753457743
137	0.2742558079
138	0.2737967455
139	0.2726825331
140	0.2718867388
141	0.2710994809
142	0.2701943114
143	0.2695333254
144	0.268852451
145	0.2682704943
146	0.2677927965
147	0.2673163826
148	0.2669339077
149	0.2663416143
150	0.265883746
151	0.2656527136
152	0.2649878228
153	0.2640605233
154	0.2634785171
155	0.2626128848
156	0.2620413212
157	0.2616114046
158	0.2610615616
159	0.2605742562
160	0.2600192607
161	0.2596382368
162	0.2591889428
163	0.2586522067
164	0.2579733569
165	0.2572153086
166	0.2565871699
167	0.2561346956
168	0.2558306436
169	0.2555818426
170	0.255018152
171	0.2547205557
172	0.2542693231
173	0.2535851809
174	0.2532229183
175	0.2527356283
176	0.2525040451
177	0.2521093819
178	0.2512562638
179	0.2507026568
180	0.2503659174
