iter	Passed	Remaining
0	3	2933
1	6	2703
2	16	4270
3	19	3864
4	22	3591
5	26	3398
6	29	3261
7	32	3160
8	35	3078
9	38	3016
10	41	2967
11	45	2924
12	48	2885
13	51	2848
14	54	2832
15	58	2803
16	61	2782
17	64	2758
18	67	2732
19	70	2712
20	73	2694
21	76	2675
22	79	2658
23	82	2642
24	85	2627
25	89	2613
26	92	2597
27	94	2580
28	98	2570
29	101	2557
30	104	2544
31	107	2544
32	110	2535
33	114	2534
34	117	2522
35	120	2511
36	123	2502
37	126	2492
38	129	2483
39	132	2474
40	135	2466
41	138	2458
42	141	2455
43	144	2448
44	148	2447
45	151	2452
46	154	2445
47	158	2440
48	161	2432
49	164	2426
50	167	2419
51	170	2415
52	173	2409
53	176	2401
54	179	2393
55	182	2386
56	185	2380
57	188	2373
58	191	2367
59	194	2361
60	197	2355
61	200	2349
62	203	2346
63	206	2341
64	209	2336
65	212	2330
66	215	2326
67	218	2320
68	221	2314
69	224	2308
70	227	2301
71	230	2295
72	233	2291
73	236	2285
74	239	2279
75	242	2274
76	245	2271
77	248	2266
78	251	2261
79	254	2257
80	257	2254
81	260	2249
82	264	2248
83	267	2244
84	270	2239
85	273	2235
86	276	2231
87	279	2228
88	282	2224
89	285	2220
90	288	2215
91	291	2211
92	294	2207
93	298	2203
94	301	2199
95	304	2194
96	307	2191
97	310	2186
98	313	2183
99	316	2178
100	319	2175
101	322	2171
102	325	2168
103	328	2164
104	331	2160
105	334	2156
106	337	2152
107	340	2147
108	343	2143
109	346	2139
110	350	2138
111	353	2134
112	356	2130
113	359	2126
114	362	2122
115	365	2117
116	368	2114
117	371	2111
118	374	2107
119	377	2104
120	380	2100
121	383	2097
122	386	2093
123	389	2090
124	392	2087
125	395	2083
126	399	2080
127	402	2076
128	405	2073
129	408	2070
130	411	2066
131	414	2063
132	417	2060
133	420	2056
134	423	2053
135	427	2050
136	430	2047
137	433	2044
138	436	2040
139	439	2037
140	442	2035
141	445	2032
142	449	2028
143	451	2024
144	454	2020
145	458	2017
146	461	2013
147	463	2009
148	466	2005
149	470	2002
150	472	1998
151	475	1993
152	478	1989
153	481	1985
154	484	1981
155	487	1978
156	490	1974
157	493	1970
158	496	1967
159	499	1963
160	502	1959
161	505	1956
162	508	1953
163	511	1949
164	514	1945
165	517	1942
166	520	1938
167	523	1934
168	526	1930
169	528	1925
170	531	1922
171	534	1919
172	538	1915
173	541	1912
174	544	1908
175	547	1905
176	550	1902
177	553	1899
178	556	1895
179	559	1892
180	562	1889
181	565	1886
182	568	1883
183	571	1880
184	574	1876
185	577	1873
186	580	1870
187	584	1867
188	587	1863
189	590	1860
190	593	1857
191	596	1854
192	599	1851
193	602	1847
194	605	1844
195	608	1841
196	611	1838
197	614	1834
198	617	1831
199	620	1827
200	623	1824
201	626	1821
202	629	1818
203	632	1814
204	635	1811
205	639	1808
206	642	1805
207	644	1801
208	648	1798
209	650	1794
210	654	1792
211	657	1788
212	660	1785
213	663	1782
214	666	1778
215	669	1775
216	672	1772
217	675	1769
218	678	1766
219	681	1763
220	684	1759
221	687	1756
222	690	1753
223	694	1751
224	697	1748
225	700	1746
226	704	1744
227	707	1741
228	711	1739
229	714	1737
230	718	1734
231	721	1731
232	724	1729
233	728	1727
234	732	1727
235	736	1724
236	739	1722
237	742	1719
238	746	1716
239	749	1714
240	752	1711
241	756	1708
242	759	1705
243	762	1702
244	766	1701
245	769	1698
246	772	1694
247	775	1691
248	778	1687
249	781	1685
250	784	1682
251	787	1678
252	790	1675
253	793	1672
254	797	1669
255	800	1665
256	803	1662
257	806	1659
258	809	1655
259	812	1652
260	815	1649
261	818	1646
262	821	1643
263	824	1639
264	827	1636
265	830	1633
266	833	1629
267	836	1626
268	839	1623
269	842	1620
270	846	1617
271	849	1613
272	852	1610
273	855	1607
274	858	1604
275	861	1600
276	864	1597
277	867	1594
278	870	1591
279	873	1587
280	876	1584
281	879	1581
282	882	1578
283	885	1574
284	888	1570
285	891	1567
286	894	1564
287	897	1560
288	900	1557
289	903	1553
290	906	1550
291	909	1547
292	911	1543
293	914	1540
294	917	1536
295	920	1533
296	923	1529
297	926	1526
298	929	1522
299	932	1519
300	935	1516
301	938	1513
302	941	1509
303	944	1507
304	947	1503
305	950	1500
306	953	1497
307	956	1493
308	959	1490
309	962	1487
310	965	1483
311	968	1480
312	971	1476
313	974	1473
314	976	1470
315	979	1466
316	982	1463
317	985	1460
318	988	1456
319	991	1453
320	994	1450
321	997	1446
322	1000	1444
323	1006	1444
324	1010	1443
325	1013	1439
326	1016	1436
327	1019	1433
328	1022	1429
329	1025	1426
330	1028	1423
331	1031	1419
332	1034	1416
333	1037	1413
334	1040	1409
335	1043	1406
336	1046	1403
337	1049	1400
338	1052	1396
339	1055	1393
340	1058	1390
341	1061	1387
342	1064	1384
343	1067	1381
344	1070	1377
345	1073	1374
346	1076	1371
347	1079	1367
348	1082	1364
349	1085	1361
350	1088	1358
351	1091	1354
352	1094	1351
353	1097	1348
354	1100	1344
355	1103	1341
356	1105	1338
357	1108	1334
358	1111	1331
359	1114	1328
360	1118	1325
361	1121	1322
362	1125	1321
363	1129	1318
364	1133	1316
365	1136	1313
366	1139	1310
367	1142	1307
368	1145	1303
369	1148	1300
370	1151	1297
371	1154	1294
372	1157	1290
373	1160	1287
374	1163	1284
375	1166	1281
376	1169	1277
377	1172	1274
378	1175	1271
379	1178	1268
380	1181	1264
381	1184	1261
382	1186	1258
383	1189	1254
384	1192	1251
385	1195	1248
386	1198	1245
387	1201	1242
388	1204	1238
389	1207	1235
390	1210	1232
391	1213	1229
392	1216	1225
393	1219	1222
394	1222	1219
395	1225	1215
396	1228	1212
397	1231	1209
398	1233	1206
399	1236	1202
400	1239	1199
401	1242	1196
402	1245	1193
403	1248	1190
404	1251	1186
405	1254	1183
406	1257	1180
407	1260	1177
408	1263	1174
409	1266	1170
410	1269	1167
411	1272	1164
412	1275	1161
413	1278	1157
414	1281	1154
415	1284	1151
416	1287	1148
417	1290	1145
418	1293	1142
419	1296	1138
420	1299	1135
421	1302	1133
422	1305	1129
423	1308	1126
424	1311	1123
425	1315	1120
426	1319	1118
427	1322	1115
428	1325	1112
429	1328	1109
430	1332	1106
431	1335	1103
432	1338	1100
433	1341	1097
434	1344	1093
435	1347	1090
436	1350	1087
437	1353	1084
438	1356	1081
439	1359	1078
440	1362	1074
441	1365	1071
442	1368	1068
443	1371	1065
444	1374	1062
445	1377	1059
446	1379	1055
